1	1	0	0	4	8	4	1	1	14	2	6
1	0	0	0	9	8	0	0	0	8	0	5
3	3	0	0	7	10	2	1	1	13	1	4
4	0	0	0	5	4	3	0	0	11	1	3
2	2	0	1	6	3	3	1	1	12	1	3
2	2	0	1	0	0	1	0	0	4	0	4
3	2	0	1	2	5	2	2	1	12	3	4
3	1	0	1	0	0	1	0	0	6	0	2
6	2	0	0	10	13	2	1	0	13	0	8
5	1	0	1	7	4	2	1	0	6	2	3
6	2	1	0	9	8	3	1	0	13	0	5
4	1	0	0	4	6	1	1	0	4	1	3
4	4	0	1	2	3	1	1	0	10	4	5
4	0	0	1	1	1	0	0	0	3	0	2
5	4	0	1	1	1	3	1	0	6	2	4
2	1	0	1	1	0	0	0	0	5	0	4
2	2	0	0	9	13	3	2	1	17	3	7
1	0	0	0	10	10	4	0	0	8	0	3
3	2	0	0	10	9	3	1	0	15	3	7
2	0	0	0	8	10	2	0	0	10	0	4
4	4	1	1	17	12	1	2	2	14	1	4
1	1	0	1	3	8	2	0	0	12	1	3
1	2	1	1	11	12	3	6	1	13	0	5
1	1	0	0	7	5	0	1	0	9	0	3
3	2	0	0	9	13	5	2	0	11	1	7
3	1	0	0	9	8	3	0	0	11	1	6
4	2	0	0	10	11	2	0	0	13	0	6
3	1	0	0	7	10	3	0	0	7	0	4
3	5	0	1	12	9	1	3	0	9	1	6
1	2	0	0	3	4	0	2	0	5	0	3
2	3	0	1	9	10	1	3	0	12	1	5
2	2	0	0	6	2	0	2	0	4	0	4
3	1	3	0	21	18	8	6	1	22	4	8
1	0	0	0	11	16	5	2	2	9	1	5
4	2	6	0	18	13	5	4	2	15	2	7
2	0	1	0	9	9	3	2	0	12	0	3
3	3	5	1	23	23	15	6	1	36	6	4
1	1	0	1	8	2	11	2	0	11	0	3
3	1	0	1	17	34	9	6	1	22	3	4
4	2	0	1	4	4	7	1	0	7	1	4
9	2	1	0	25	20	8	6	0	26	3	7
5	1	1	0	10	13	3	3	0	11	3	5
7	4	0	0	11	16	5	6	1	21	5	7
7	1	0	0	10	13	2	1	1	12	1	4
6	5	1	1	32	30	14	9	1	25	4	10
0	2	0	1	10	5	10	3	0	7	0	4
5	3	0	1	34	33	17	5	1	30	5	4
4	4	0	2	7	6	6	0	0	9	1	4
5	2	2	0	16	15	9	11	3	26	3	8
3	0	0	0	14	11	3	4	1	15	1	7
5	1	5	0	14	14	3	5	2	28	3	7
3	0	1	0	8	16	3	5	2	16	1	4
13	3	1	1	63	48	20	1	1	29	6	12
12	2	0	1	38	27	12	0	0	18	1	4
10	2	2	2	31	33	25	9	1	27	9	4
3	1	0	1	19	15	3	4	1	13	1	4
5	2	1	0	13	15	9	5	1	26	2	8
5	1	0	0	10	10	9	4	0	19	1	6
6	4	0	1	12	15	6	2	1	28	7	7
5	1	0	0	10	15	3	0	0	20	2	6
17	7	0	2	41	101	14	10	0	32	3	11
2	2	0	0	29	53	6	0	0	21	0	4
8	3	0	1	67	45	15	8	1	31	4	9
2	2	0	1	5	3	5	8	0	18	1	4
